Name,Url,Category
یوسف سلیم چشتی,https://ur.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%B3%D9%84%DB%8C%D9%85_%DA%86%D8%B4%D8%AA%DB%8C,deaths
عاشق الہیٰ بلند شہری,https://ur.wikipedia.org/wiki/%D8%B9%D8%A7%D8%B4%D9%82_%D8%A7%D9%84%DB%81%DB%8C%D9%B0_%D8%A8%D9%84%D9%86%D8%AF_%D8%B4%DB%81%D8%B1%DB%8C,deaths
ماتسو باشو,https://ur.wikipedia.org/wiki/%D9%85%D8%A7%D8%AA%D8%B3%D9%88_%D8%A8%D8%A7%D8%B4%D9%88,deaths
ابو سعید مبارک,https://ur.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88_%D8%B3%D8%B9%DB%8C%D8%AF_%D9%85%D8%A8%D8%A7%D8%B1%DA%A9,deaths
ریاض الرحمان ساغر,https://ur.wikipedia.org/wiki/%D8%B1%DB%8C%D8%A7%D8%B6_%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A7%D9%86_%D8%B3%D8%A7%D8%BA%D8%B1,deaths
ابو عبید البکری,https://ur.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88_%D8%B9%D8%A8%DB%8C%D8%AF_%D8%A7%D9%84%D8%A8%DA%A9%D8%B1%DB%8C,deaths
بینجمن ڈزرائیلی,https://ur.wikipedia.org/wiki/%D8%A8%DB%8C%D9%86%D8%AC%D9%85%D9%86_%DA%88%D8%B2%D8%B1%D8%A7%D8%A6%DB%8C%D9%84%DB%8C,deaths
کلارا ہٹلر,https://ur.wikipedia.org/wiki/%DA%A9%D9%84%D8%A7%D8%B1%D8%A7_%DB%81%D9%B9%D9%84%D8%B1,deaths
عمر بن علی,https://ur.wikipedia.org/wiki/%D8%B9%D9%85%D8%B1_%D8%A8%D9%86_%D8%B9%D9%84%DB%8C,deaths
حجاج بن یوسف,https://ur.wikipedia.org/wiki/%D8%AD%D8%AC%D8%A7%D8%AC_%D8%A8%D9%86_%DB%8C%D9%88%D8%B3%D9%81,deaths
مصطفی اسماعیل,https://ur.wikipedia.org/wiki/%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84,deaths
ولادیمیر مایاکوفسکی,https://ur.wikipedia.org/wiki/%D9%88%D9%84%D8%A7%D8%AF%DB%8C%D9%85%DB%8C%D8%B1_%D9%85%D8%A7%DB%8C%D8%A7%DA%A9%D9%88%D9%81%D8%B3%DA%A9%DB%8C,deaths
حمیرا بیگم,https://ur.wikipedia.org/wiki/%D8%AD%D9%85%DB%8C%D8%B1%D8%A7_%D8%A8%DB%8C%DA%AF%D9%85,deaths
رچرڈ آرک رائٹ,https://ur.wikipedia.org/wiki/%D8%B1%DA%86%D8%B1%DA%88_%D8%A2%D8%B1%DA%A9_%D8%B1%D8%A7%D8%A6%D9%B9,deaths
انور شمیم,https://ur.wikipedia.org/wiki/%D8%A7%D9%86%D9%88%D8%B1_%D8%B4%D9%85%DB%8C%D9%85,deaths
جے پال,https://ur.wikipedia.org/wiki/%D8%AC%DB%92_%D9%BE%D8%A7%D9%84,deaths
نارمنز کل,https://ur.wikipedia.org/wiki/%D9%86%D8%A7%D8%B1%D9%85%D9%86%D8%B2_%DA%A9%D9%84,deaths
آغا شاعر قزلباش,https://ur.wikipedia.org/wiki/%D8%A2%D8%BA%D8%A7_%D8%B4%D8%A7%D8%B9%D8%B1_%D9%82%D8%B2%D9%84%D8%A8%D8%A7%D8%B4,deaths
سبطین فضلی,https://ur.wikipedia.org/wiki/%D8%B3%D8%A8%D8%B7%DB%8C%D9%86_%D9%81%D8%B6%D9%84%DB%8C,deaths
کولن ڈیوڈ,https://ur.wikipedia.org/wiki/%DA%A9%D9%88%D9%84%D9%86_%DA%88%DB%8C%D9%88%DA%88,deaths
آشا پوسلے,https://ur.wikipedia.org/wiki/%D8%A2%D8%B4%D8%A7_%D9%BE%D9%88%D8%B3%D9%84%DB%92,deaths
محمد عثمان ڈیپلائی,https://ur.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B9%D8%AB%D9%85%D8%A7%D9%86_%DA%88%DB%8C%D9%BE%D9%84%D8%A7%D8%A6%DB%8C,deaths
سلیل چوہدری,https://ur.wikipedia.org/wiki/%D8%B3%D9%84%DB%8C%D9%84_%DA%86%D9%88%DB%81%D8%AF%D8%B1%DB%8C,deaths
سید محمد ذوقی شاہ,https://ur.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D8%B0%D9%88%D9%82%DB%8C_%D8%B4%D8%A7%DB%81,deaths
