वेद प्रकाश शर्मा,https://hi.wikipedia.org/wiki/वेद_प्रकाश_शर्मा,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Urdu Version,Other Lang count
चेतन आनन्द,https://hi.wikipedia.org/wiki/चेतन_आनन्द,Yes,Yes,Yes,Yes,No,Yes,No,No,10
ज़ोरेस अल्फेरोव,https://hi.wikipedia.org/wiki/ज़ोरेस_अल्फेरोव,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,61
शिवा रिन्दानी,https://hi.wikipedia.org/wiki/शिवा_रिन्दानी,Yes,No,No,No,No,No,No,No,1
राजेन्द्रसिंह बेदी,https://hi.wikipedia.org/wiki/राजेन्द्रसिंह_बेदी,No,No,No,No,No,No,No,No,0
मन प्रसाद सुब्बा,https://hi.wikipedia.org/wiki/मन_प्रसाद_सुब्बा,No,No,No,No,No,No,No,No,0
सुशीला चानू,https://hi.wikipedia.org/wiki/सुशीला_चानू,Yes,No,No,No,No,No,No,No,8
टेलर स्विफ्ट,https://hi.wikipedia.org/wiki/टेलर_स्विफ्ट,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,94
आनंद समाराकून,https://hi.wikipedia.org/wiki/आनंद_समाराकून,Yes,No,No,No,Yes,No,Yes,No,6
जाम सादिक अली,https://hi.wikipedia.org/wiki/जाम_सादिक_अली,Yes,No,No,No,No,No,No,Yes,3
दिव्या भारती,https://hi.wikipedia.org/wiki/दिव्या_भारती,Yes,Yes,Yes,No,No,No,No,Yes,22
नजमुल हुसैन शान्तो,https://hi.wikipedia.org/wiki/नजमुल_हुसैन_शान्तो,Yes,No,No,No,No,No,No,No,3
साइरस पलोनजी मिस्त्री,https://hi.wikipedia.org/wiki/साइरस_पलोनजी_मिस्त्री,Yes,Yes,Yes,No,No,No,No,No,10
माजिद मजीदी,https://hi.wikipedia.org/wiki/माजिद_मजीदी,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,32
इस्कंदर मिर्ज़ा,https://hi.wikipedia.org/wiki/इस्कंदर_मिर्ज़ा,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,37
पृथ्वीराज चह्वाण,https://hi.wikipedia.org/wiki/पृथ्वीराज_चह्वाण,Yes,No,No,No,No,No,No,No,4
ठाकुर विश्वनाथ साही,https://hi.wikipedia.org/wiki/ठाकुर_विश्वनाथ_साही,No,No,No,No,No,No,No,No,0
जगन्नाथ चौधरी,https://hi.wikipedia.org/wiki/जगन्नाथ_चौधरी,No,No,No,No,No,No,No,No,0
