Name,Url,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Hindi Version,Other Lang count
یوسف سلیم چشتی,https://ur.wikipedia.org/wiki/یوسف_سلیم_چشتی,No,No,No,No,No,No,No,No,0
عاشق الہیٰ بلند شہری,https://ur.wikipedia.org/wiki/عاشق_الہیٰ_بلند_شہری,Yes,No,No,No,No,No,No,No,2
ماتسو باشو,https://ur.wikipedia.org/wiki/ماتسو_باشو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,152
ابو سعید مبارک,https://ur.wikipedia.org/wiki/ابو_سعید_مبارک,Yes,No,No,No,No,No,No,No,3
ریاض الرحمان ساغر,https://ur.wikipedia.org/wiki/ریاض_الرحمان_ساغر,Yes,No,No,No,No,No,No,No,1
ابو عبید البکری,https://ur.wikipedia.org/wiki/ابو_عبید_البکری,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,26
بینجمن ڈزرائیلی,https://ur.wikipedia.org/wiki/بینجمن_ڈزرائیلی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,77
کلارا ہٹلر,https://ur.wikipedia.org/wiki/کلارا_ہٹلر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,38
عمر بن علی,https://ur.wikipedia.org/wiki/عمر_بن_علی,No,No,No,No,No,No,No,No,2
حجاج بن یوسف,https://ur.wikipedia.org/wiki/حجاج_بن_یوسف,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25
مصطفی اسماعیل,https://ur.wikipedia.org/wiki/مصطفی_اسماعیل,Yes,No,No,No,No,No,Yes,No,4
ولادیمیر مایاکوفسکی,https://ur.wikipedia.org/wiki/ولادیمیر_مایاکوفسکی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,70
حمیرا بیگم,https://ur.wikipedia.org/wiki/حمیرا_بیگم,Yes,Yes,Yes,Yes,Yes,Yes,No,No,12
رچرڈ آرک رائٹ,https://ur.wikipedia.org/wiki/رچرڈ_آرک_رائٹ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37
انور شمیم,https://ur.wikipedia.org/wiki/انور_شمیم,Yes,No,No,No,No,No,No,No,1
جے پال,https://ur.wikipedia.org/wiki/جے_پال,Yes,No,No,No,No,No,No,Yes,7
نارمنز کل,https://ur.wikipedia.org/wiki/نارمنز_کل,Yes,No,No,No,No,No,No,No,1
آغا شاعر قزلباش,https://ur.wikipedia.org/wiki/آغا_شاعر_قزلباش,No,No,No,No,No,No,No,No,0
سبطین فضلی,https://ur.wikipedia.org/wiki/سبطین_فضلی,No,No,No,No,No,No,No,No,0
کولن ڈیوڈ,https://ur.wikipedia.org/wiki/کولن_ڈیوڈ,Yes,No,No,No,No,No,No,No,1
آشا پوسلے,https://ur.wikipedia.org/wiki/آشا_پوسلے,Yes,No,No,No,No,No,No,No,2
محمد عثمان ڈیپلائی,https://ur.wikipedia.org/wiki/محمد_عثمان_ڈیپلائی,Yes,No,No,No,No,No,No,No,3
سلیل چوہدری,https://ur.wikipedia.org/wiki/سلیل_چوہدری,Yes,No,No,No,No,No,No,Yes,12
سید محمد ذوقی شاہ,https://ur.wikipedia.org/wiki/سید_محمد_ذوقی_شاہ,Yes,No,No,No,No,No,No,No,1
نصرت ٹھاکر,https://ur.wikipedia.org/wiki/نصرت_ٹھاکر,No,No,No,No,No,No,No,No,0
محمد المتوکل علی اللہ ثالث,https://ur.wikipedia.org/wiki/محمد_المتوکل_علی_اللہ_ثالث,Yes,Yes,Yes,No,No,No,Yes,No,16
